Reference;publication_year;response_variable;Response variavel datail;statistical_parameter;Explanatory variable;Process studied;Process suggested;data;Forest types;Area;Time span;Time period;Linear/Non-linear;Explanation
Leifsson et al. 2024;2024;Secondary Tree growth ;tree rings - annual;YES - moving correlations;drought index as a climate variable to account for the combined effects of temperature and water availability ;Not studied, just pattern;Physiological mechanisms;Dendrochronology;Beech;Europe;;;;drought sensitivity is highly variable and non-stationary, though consistently higher at dry sites compared to moist sites. Increasing drought sensitivity can largely be explained by increasing climatic aridity, especially as it is exacerbated by climate change and trees' rank progression within forest communities, as (co-)dominant trees are more sensitive to extra-canopy climatic conditions than trees embedded in understories. However, during the driest periods of the 20th century, growth showed clear signs of being decoupled from climate. This may indicate fundamental changes in system behavior and be early-warning signals of decreasing drought tolerance.
Kaspar et al. 2024;2024;Secondary Tree growth ;tree rings - annual;NO ;Elevation;Not studied, just pattern;;Dendrochronology;Temperate (European beech, Norway spruce, Scots pine, silver fir, sessile and pedunculate oak) ;Czechia;1990-2014;;;Positive and negative growth trends with these deivergent trajectories across space
Gedalof Z. et al. 2019;2019;Secondary Tree growth ;tree rings - annual;NO;Palmer Drought Severity Index (PDSI);Not studied, just pattern;Competition;Dendrochronology;mixed forest stand;Southern Vancouver Island;Trees cored in in summer of 2001;;;NO MIRA NON-STATIONARY, lo llama mal en el abstract. Compara como cambian las correlaciones clima-crecimiento entre sitios y tratamientos pero no en el tiempo. If competition and stand density affect the climatic signal recorded by a tree ring, trees may not show a stationary response to climate at a location where these factors have changed over the tree’s life.
Stolz et al. 2021;2021;Secondary Tree growth ;tree rings - annual;YES - two periods comaprsion 1964-1993 and 1988-2017.;SPEI;Not studied, just pattern;None suggested;Dendrochronology;Beech and scots pine;north-eastern Germany;1964 – 2017;2 time periods;;"y splitting the observation period (1964–2017) into an early and late period, we found non-stationary climate-growth relationships for both study species with beech showing an increase in drought sensitivity and pine in winter temperature sensitivity. More specifically, growth sensitivity to summer drought in current June (
Fig. 3
) and to winter temperature in current February (
Fig. 4
) increased significantly in the recent period for beech and pine, respectively. T"
Carnicer et al. 2021;2021;Secondary Tree growth ;tree rings - annual;YES - two periods comaprsion 1960-1979 and 1980-2018.;topographic gradient, LASCAR;;;Dendrochronology;;;;;;"A period of 
continued forest decline in secondary growth was detected (1980–
2019), preceded by a previous period of more stable growth (1960–
1979). We analysed non-stationary effects of the climatic variables 
on growth for these two contrasting time periods"
Zheng et al. 2024;2024;Secondary Tree growth;tree rings - annual;YES - moving correlations (Fig 4);Temperature, SPEI, Precipitation, Diurnal temperature range;;Competition;Dendrochronology;Abies georgei var. Smithii (Smith fir) forests;Meili Snow Mountain, southeastern Tibetan Plateau;1959-2019;;;Drought stress on growth may be increased by heavy competition from shrub and herb layers. These results show the non-stationary nature of tree growth-climate associations and the linkage to forest community structures.
Jiao et al. 2023.;2023;Physiological activity ;FPAR, PVC;YES - Cummulative effect = increaso of drought sensitivity Figutre 1 C;Cummulative effects (non linear increases in evegetation declines at the same drought intensity);Not studied, just pattern;;Remote sensing;Forest is on type of the studied vegetation types;Australia;;;;Forests have low frequency of cummulative effects - explanation microclimate (roots) or saturation of vegetation indices with increasinf LAI. However whe cummulative effects occur expolain large fraction of drought impact (~50%) -No explanation for that
Jiao et al. 2023.;2023;Biomass stock and fluxes;canopy density;YES - Cummulative effect = increaso of drought sensitivity Figutre 1 C;Cummulative effects (non linear increases in evegetation declines at the same drought intensity);Not studied, just pattern;;Remote sensing;Forest is on type of the studied vegetation types;Australia;;;;Forests have low frequency of cummulative effects - explanation microclimate (roots) or saturation of vegetation indices with increasinf LAI. However whe cummulative effects occur expolain large fraction of drought impact (~50%) -No explanation for that
Cui et al. 2023;2023;Secondary Tree growth;Intara-annual growth;YES- Trunk increment varies in spring, summer and autum for the same amount of rain (Fig 4).;precipitation;trunk radial growth;;Dendrochronology;Pinus massoniana;China;intra-annual;;;Observe hoe the response of secondary growth to precipitation events is not the same in spring, summer and fall. ¿CAN WE ACCEPT THIS AS NON-STATIONARY?
Casas-Gómez et al. 2020;2020;Secondary Tree growth ;tree rings - annual;YES-moving correaltions Fig 7;NAO , WI, SPEI;;;Dendrochronology;Mediterranean forest;Mediterranean;1900-present;;;Non-stationary drought sensitivity due to CC-anthropogenic influences and ecosystem development
