Authors,;Title,;Year;DOI;Link;QUIEN;FOREST_SI_NO;ESTADISTICO_SI_NO;METHODOLOGY_1;FOREST_RESPONSE_1;PARAMETER;
"Garcia-Barreda S.; Valeriano C.; Camarero J.J.,";Drought constrains acorn production and tree growth in the Mediterranean holm oak and triggers weak legacy effects,;2023;10.1016/j.agrformet.2023.109435;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150857482&doi=10.1016%2fj.agrformet.2023.109435&partnerID=40&md5=6197b0648fc743c815ba64f9799e2ddf;Xavi;SI;SI ;Dendrochronology;Tree growth;Observed-predicted;
"Garcia-Barreda S.; Valeriano C.; Camarero J.J.,";Drought constrains acorn production and tree growth in the Mediterranean holm oak and triggers weak legacy effects,;2023;10.1016/j.agrformet.2023.109435;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150857482&doi=10.1016%2fj.agrformet.2023.109435&partnerID=40&md5=6197b0648fc743c815ba64f9799e2ddf;Xavi;SI;SI ;Field study;Demography;Observed-predicted;
"Friedrichs D.A.; Bntgen U.; Frank D.C.; Esper J.; Neuwirth B.; Loffler J.,";Complex climate controls on 20th century oak growth in Central-West Germany,;2009;10.1093/treephys/tpn003;https://www.scopus.com/inward/record.uri?eid=2-s2.0-63049108590&doi=10.1093%2ftreephys%2ftpn003&partnerID=40&md5=0a84d66cd845c01364b4f58bc6eb1edf;Xavi;SI;SI;Dendrochronology;Tree growth;Moving correlation;
"Gea-Izquierdo G.; Cherubini P.; Cañellas I.,";Tree-rings reflect the impact of climate change on Quercus ilex L. along a temperature gradient in Spain over the last 100years,;2011;10.1016/j.foreco.2011.07.025;https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052724790&doi=10.1016%2fj.foreco.2011.07.025&partnerID=40&md5=39dce42c90e0849a62ad0cc5a68abf16;Xavi;SI;SI;Dendrochronology;Tree growth;Moving correlation;
"Anderegg W.R.L.; Schwalm C.; Biondi F.; Camarero J.J.; Koch G.; Litvak M.; Ogle K.; Shaw J.D.; Shevliakova E.; Williams A.P.; Wolf A.; Ziaco E.; Pacala S.,";Pervasive drought legacies in forest ecosystems and their implications for carbon cycle models,;2015;10.1126/science.aab1833;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939793139&doi=10.1126%2fscience.aab1833&partnerID=40&md5=64376b4f3665b3301deebee0862feb22;Julen;SI;SI;Dendrochronology;Tree growth;Observed-predicted;
Andersen D.C.,;Climate, streamflow, and legacy effects on growth of riparian Populus angustifolia in the arid San Luis Valley, Colorado,;2016;10.1016/j.jaridenv.2016.07.005;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979650469&doi=10.1016%2fj.jaridenv.2016.07.005&partnerID=40&md5=6f3110ff879a8d593e3da1bbb4b4d627;Xavi;SI ;SI;Dendrochronology;Tree growth;Periods-Years-Interaction;
"Carnicer J.; Domingo-Marimon C.; Ninyerola M.; Camarero J.J.; Bastos A.; López-Parages J.; Blanquer L.; Rodríguez-Fonseca B.; Lenton T.M.; Dakos V.; Ribas M.; Gutiérrez E.; Peñuelas J.; Pons X.,";Regime shifts of Mediterranean forest carbon uptake and reduced resilience driven by multidecadal ocean surface temperatures,;2019;10.1111/gcb.14664;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067514111&doi=10.1111%2fgcb.14664&partnerID=40&md5=1bc72296d5c86bfcd46a271ffec108da;Julen;SI;SI;Dendrochronology;Tree growth;Periods-Years-Interaction;
"Casas-Gómez P.; Sánchez-Salguero R.; Ribera P.; Linares J.C.,";Contrasting signals of the westerly index and north atlantic oscillation over the drought sensitivity of tree-ring chronologies from the mediterranean basin,;2020;10.3390/atmos11060644;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086996858&doi=10.3390%2fatmos11060644&partnerID=40&md5=0adb974edb03dd72db83ac1081add21c;Cesar;SI;SI;Dendrochronology;Tree growth;Moving correlation;
"Gazol A.; Camarero J.J.; Sánchez-Salguero R.; Vicente-Serrano S.M.; Serra-Maluquer X.; Gutiérrez E.; de Luis M.; Sangüesa-Barreda G.; Novak K.; Rozas V.; Tíscar P.A.; Linares J.C.; Martínez del Castillo E.; Ribas M.; García-González I.; Silla F.; Camisón Á.; Génova M.; Olano J.M.; Here? A.-M.; Curiel Yuste J.; Longares L.A.; Hevia A.; Tomas-Burguera M.; Galván J.D.,";Drought legacies are short, prevail in dry conifer forests and depend on growth variability,;2020;10.1111/1365-2745.13435;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087156375&doi=10.1111%2f1365-2745.13435&partnerID=40&md5=46c12c1827876d651e432ee8a90b2aef;Cesar;SI;SI;Dendrochronology;Tree growth;Observed-predicted;
"Gazol A.; Camarero J.J.; Sánchez-Salguero R.; Vicente-Serrano S.M.; Serra-Maluquer X.; Gutiérrez E.; de Luis M.; Sangüesa-Barreda G.; Novak K.; Rozas V.; Tíscar P.A.; Linares J.C.; Martínez del Castillo E.; Ribas M.; García-González I.; Silla F.; Camisón Á.; Génova M.; Olano J.M.; Here? A.-M.; Curiel Yuste J.; Longares L.A.; Hevia A.; Tomas-Burguera M.; Galván J.D.,";Drought legacies are short, prevail in dry conifer forests and depend on growth variability,;2020;10.1111/1365-2745.13435;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087156375&doi=10.1111%2f1365-2745.13435&partnerID=40&md5=46c12c1827876d651e432ee8a90b2aef;Cesar;SI;SI;Remote sensing;Vegetation activity;Observed-predicted;
